ID;DateTime;Length;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;B23;B24;B25;B26;B27;B28;B29;B30;B31;Fingerprint
68;30:16.0;21868;0;3.34;4.61;4.64;4.64;4.66;4.6;4.63;4.62;4.58;4.61;4.67;4.66;4.66;4.6;4.61;4.64;4.57;4.58;4.59;4.63;4.55;4.57;0;1;1;1;1;1;1;01cb7651d8f969964b14b7f042a358f17a
69;32:16.0;22528;0;3.46;4.66;4.6;4.6;4.65;4.64;4.67;4.65;4.6;4.6;4.62;4.58;4.64;4.62;4.63;4.67;4.61;4.61;4.63;4.68;4.64;4.64;0;1;1;1;1;1;1;01b14eeafa7abc6e157ad6565bfd35ce9a
70;34:16.0;23188;0;3.4;4.61;4.58;4.57;4.65;4.59;4.63;4.63;4.6;4.6;4.62;4.62;4.66;4.62;4.62;4.66;4.59;4.59;4.58;4.68;4.62;4.65;0;1;1;1;1;1;1;018ebfbd8252ed32cca858b561fdf9b961
71;36:16.0;23848;0;3.44;4.66;4.67;4.61;4.7;4.62;4.64;4.62;4.6;4.6;4.62;4.6;4.63;4.59;4.59;4.66;4.62;4.66;4.63;4.65;4.6;4.56;0;1;1;1;1;1;1;01d845c2a8e5df3076e661a986f33d1498
72;38:16.0;24513;0;3.42;4.65;4.68;4.62;4.67;4.62;4.64;4.67;4.64;4.61;4.65;4.64;4.63;4.61;4.63;4.69;4.61;4.65;4.62;4.72;4.66;4.63;0;1;1;1;1;1;1;011a6ce3f297355a6c017fccc0157619e3
73;40:16.0;25168;0;3.36;4.62;4.65;4.6;4.71;4.64;4.63;4.63;4.63;4.61;4.64;4.64;4.64;4.6;4.63;4.72;4.62;4.65;4.6;4.64;4.61;4.63;0;1;1;1;1;1;1;01bb18f3183d699cddbc3ab75d6ccd3716
74;42:16.0;25828;0;3.38;4.65;4.62;4.59;4.7;4.64;4.65;4.66;4.65;4.64;4.65;4.64;4.65;4.61;4.61;4.69;4.59;4.6;4.6;4.61;4.62;4.59;0;1;1;1;1;1;1;0179dd7ef1e987f6f9b3b9bf484dc44786
75;44:16.0;26488;0;3.28;4.5;4.51;4.54;4.68;4.66;4.66;4.64;4.63;4.61;4.63;4.63;4.62;4.54;4.57;4.62;4.56;4.62;4.61;4.65;4.65;4.66;0;1;1;1;1;1;1;0109489c8ffbd90ec2fdce53587c5b42d2
76;46:16.0;27148;0;3.36;4.64;4.69;4.63;4.66;4.67;4.64;4.66;4.65;4.62;4.63;4.62;4.67;4.61;4.63;4.71;4.62;4.63;4.62;4.6;4.6;4.58;0;1;1;1;1;1;1;01a80bf087d9ce882c7178ed56a83033aa
77;48:16.0;27813;0;3.38;4.67;4.68;4.56;4.62;4.59;4.54;4.59;4.62;4.6;4.62;4.62;4.66;4.59;4.62;4.63;4.62;4.63;4.64;4.69;4.65;4.61;0;1;1;1;1;1;1;011db3186f7b37512e4a526c74654360b5
78;50:16.0;28468;0;3.37;4.65;4.64;4.56;4.65;4.65;4.58;4.62;4.61;4.52;4.54;4.64;4.67;4.6;4.64;4.63;4.63;4.64;4.62;4.65;4.61;4.65;0;1;1;1;1;1;1;015dc4c09dac631395b438e9fec4ceda29
79;52:16.0;29133;0;3.39;4.61;4.59;4.57;4.68;4.67;4.64;4.66;4.64;4.6;4.59;4.65;4.66;4.57;4.63;4.64;4.62;4.63;4.58;4.63;4.6;4.58;0;1;1;1;1;1;1;017b586fe52747e2425254960e74075357
